id,sis_id,section,section_id,section_sis_id,submitted,attempt,"411035: In the following code, identify the literal:public static void main (String [] args){Â Â Â  int myNumber = 200;}",1,411036: Constant values can be assigned using the System.in class.,1,"411037: In the following two linesÂ of code:Â Turtle tom = new Turtle(w);Turtle bob = new Turtle(w);Â Are tom and bob the same object?",1,"411038: After executingÂ the following lines of code, what is the value of xCor?Â Turtle tom = new Turtle(w);Turtle bob = new Turtle(w);Â int xCor;Â tom.moveTo(100, 200);Â bob.moveTo(400, 300);Â xCor = tom.getXPos();Â ",1,"411039: What is a constructor?Â ",1,411040: You can tell that Math.abs(-57) is an example of a class method because:,1,n correct,n incorrect,score
46915,801338,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 21:36:13 UTC,2,myNumber = 200,0,FALSE,1,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
24360,717786,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 21:30:49 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,5,1,5
46915,801338,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 21:25:53 UTC,1,public,0,TRUE,0,No,1,100,1,A field that has size information about an object.,0,-57 is not a valid integer,0,2,4,2
44003,752297,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 20:58:32 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
44003,752297,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 20:53:08 UTC,1,myNumber = 200,0,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,-57 is not a valid integer,0,3,3,3
51820,818603,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 20:42:44 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
46436,813829,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 20:08:57 UTC,2,int,0,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
46436,813829,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 20:06:45 UTC,1,,0,FALSE,1,No,1,100,1,A method that is about the size of an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
43422,813404,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 20:02:21 UTC,2,200,1,FALSE,1,No,1,100,1,A field that has size information about an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
43422,813404,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 20:01:19 UTC,1,myNumber = 200,0,TRUE,0,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,3,3,3
48567,824859,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:56:22 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
48567,824859,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:54:54 UTC,1,myNumber = 200,0,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,3,3,3
2395,750159,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:45:05 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
2395,750159,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:44:19 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
43448,812417,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:19:00 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43448,812417,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:18:24 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
43438,815722,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:08:50 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
33374,772754,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:08:02 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43438,815722,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:06:50 UTC,1,200,1,TRUE,0,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
33374,772754,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 19:04:32 UTC,1,200,1,FALSE,1,Yes,0,400,0,A field that has size information about an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,3,3,3
43718,649685,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 18:33:06 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43718,649685,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 18:26:10 UTC,1,myNumber = 200,0,TRUE,0,No,1,200,0,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,2,4,2
40319,801937,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 18:23:50 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
40319,801937,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 18:22:12 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
3750,813670,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 17:50:40 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
45264,745996,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 17:15:32 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
45264,745996,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 17:14:51 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
46377,814453,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 17:10:36 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
46377,814453,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 17:07:40 UTC,1,int,0,FALSE,1,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
9420,522716,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 15:24:17 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
54994,815749,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 14:04:56 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
54994,815749,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 14:01:56 UTC,1,200,1,FALSE,1,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
31440,763109,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 13:02:16 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
29483,750627,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 05:21:38 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
29483,750627,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-25 05:19:51 UTC,1,200,1,FALSE,1,No,1,100,1,A field that has size information about an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
47244,813518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 02:03:19 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
47244,813518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 01:59:18 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,4,2,4
48849,826818,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 01:17:44 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
48849,826818,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-25 01:14:45 UTC,1,200,1,TRUE,0,No,1,100,1,A special type of class for constructing other classes.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,4,2,4
46227,813638,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 21:39:25 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
47378,814295,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 21:38:43 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
46227,813638,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 21:37:36 UTC,1,200,1,TRUE,0,No,1,400,0,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,3,3,3
43581,814128,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 20:57:30 UTC,2,200,1,FALSE,1,No,1,100,1,A field that has size information about an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
43581,814128,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 20:54:24 UTC,1,200,1,TRUE,0,No,1,100,1,A special type of class for constructing other classes.,0,Math casts the abs() method to a Class,0,3,3,3
53151,822620,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 19:14:39 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
40596,801257,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 14:43:36 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
58048,841197,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-24 08:11:15 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
56167,838370,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 01:18:53 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
56167,838370,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-24 01:17:22 UTC,1,200,1,TRUE,0,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,4,2,4
41880,804425,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-23 23:19:33 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43566,812997,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-23 19:00:08 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
43566,812997,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-23 16:31:48 UTC,1,200,1,FALSE,1,No,1,100,1,A field that has size information about an object.,0,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
48841,826518,ITIS-1212-101,44720,18270.201680.XLSNP201680,2016-09-23 15:43:48 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,Math casts the abs() method to a Class,0,5,1,5
35192,757487,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-23 03:35:38 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
34291,774272,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-23 03:16:10 UTC,1,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
4263,233205,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-23 00:35:51 UTC,2,200,1,FALSE,1,No,1,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,6,0,6
4263,233205,ITSC-1212-101,44684,17176.201680.XLSNP201680,2016-09-23 00:33:48 UTC,1,200,1,FALSE,1,Yes,0,100,1,A special method that is called just once when a new object is created.,1,"abs(...) is called on a class (Math), rather than an object (like myMathObj)",1,5,1,5
